CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
16557,19,27,1-19-2020-027-03,3,1,8,120.103284023968,9,5
17103,48,23,1-48-2020-023-09,9,1,9,252.451611304084,12,5
17137,33,28,1-33-2020-028-01,1,1,3,29.5572598912697,12,5
17149,22,31,1-22-2020-031-10,10,1,1,53.492568172444,12,5
17151,22,33,1-22-2020-033-04,4,1,3,31.0686167112658,12,5
17171,17,49,1-17-2020-049-06,6,1,9,142.111232030081,4,5
17173,17,51,1-17-2020-051-03,3,1,9,85.7387272895924,4,5
17176,11,26,1-11-2020-026-04,4,1,99,1149.10793003185,8,5
17016,25,27,1-25-2020-027-09,9,1,2,444.960041080372,2,5
16167,52,7,1-52-2020-007-03,3,1,8,46.2565207716754,12,5
17201,31,28,1-31-2020-028-06,6,1,99,247.444581580137,6,5
17186,48,25,1-48-2020-025-10,10,1,9,506.374552637949,12,5
16169,19,7,1-19-2020-007-02,2,1,9,44.8387754761066,9,5
16169,19,7,1-19-2020-007-02,2,1,8,44.8387754761066,9,5
17216,26,54,1-26-2020-054-09,9,1,10,1332.92849116702,10,5
17219,26,57,1-26-2020-057-05,5,1,1,26.5754565357574,10,5
17222,33,29,1-33-2020-029-01,1,1,8,29.5572598912697,12,5
17234,15,33,1-15-2020-033-03,3,1,1,8.61950080281816,1,5
18493,59,40,1-59-2020-040-05,5,2,7,91.3184990277415,6,5
17243,13,35,1-13-2020-035-01,1,1,2,38.9901140970362,7,5
17244,13,36,1-13-2020-036-06,6,1,99,873.922919864416,7,5
16511,17,19,1-17-2020-019-04,4,1,9,468.766909465587,4,5
16515,10,27,1-10-2020-027-03,3,1,10,141.070011116314,4,5
16516,10,28,1-10-2020-028-04,4,1,9,425.982651933351,4,5
16466,29,24,1-29-2020-024-03,3,1,9,56.1213974715976,2,5
17521,77,45,1-77-2020-045-05,5,1,3,249.177485417041,9,5
16472,26,18,1-26-2020-018-06,6,1,1,516.90669565984,10,5
18859,21,110,1-21-2020-110-04,4,1,1,770.532046679211,11,5
